,1. open,2. high,3. low,4. close,5. volume,ticker
2025-03-21,1247.0,1284.5,1233.25,1276.45,3432782.0,RELIANCE.BSE
2025-03-13,1249.1,1264.0,1230.0,1247.4,1280244.0,RELIANCE.BSE
2025-03-07,1209.8,1254.5,1156.0,1249.1,2624990.0,RELIANCE.BSE
2025-02-28,1219.4,1223.0,1193.3,1199.6,1989760.0,RELIANCE.BSE
2025-02-21,1215.75,1239.95,1205.15,1227.7,1638584.0,RELIANCE.BSE
2025-02-14,1263.8,1266.0,1193.65,1216.95,2409879.0,RELIANCE.BSE
2025-02-07,1250.0,1290.0,1238.0,1266.85,1685014.0,RELIANCE.BSE
2025-01-31,1239.9,1266.0,1218.9,1264.9,2009105.0,RELIANCE.BSE
2025-01-24,1319.35,1319.35,1244.0,1245.9,4320312.0,RELIANCE.BSE
2025-01-17,1230.0,1325.1,1225.6,1301.3,3841210.0,RELIANCE.BSE
2025-01-10,1251.55,1270.7,1215.3,1242.35,2938301.0,RELIANCE.BSE
2025-01-03,1219.65,1262.3,1206.4,1251.35,2170952.0,RELIANCE.BSE
2024-12-27,1217.25,1233.45,1213.15,1220.95,4810858.0,RELIANCE.BSE
2024-12-20,1275.0,1281.6,1202.1,1206.0,2955813.0,RELIANCE.BSE
2024-12-13,1303.0,1315.45,1240.0,1273.35,3377915.0,RELIANCE.BSE
2024-12-06,1291.65,1329.5,1277.0,1311.8,2504097.0,RELIANCE.BSE
2024-11-29,1294.8,1304.35,1269.25,1292.45,2943840.0,RELIANCE.BSE
2024-11-22,1266.55,1281.0,1217.7,1265.95,2554111.0,RELIANCE.BSE
2024-11-14,1282.6,1289.4,1249.7,1267.7,2613114.0,RELIANCE.BSE
2024-11-08,1337.0,1338.6,1278.0,1284.0,4092778.0,RELIANCE.BSE
2024-10-31,1338.0,1353.15,1320.5,1332.6,1729785.0,RELIANCE.BSE
2024-10-25,2739.65,2751.9,2645.0,2655.45,3959796.0,RELIANCE.BSE
2024-10-18,2761.7,2761.7,2676.0,2717.55,5509102.0,RELIANCE.BSE
2024-10-11,2799.95,2802.75,2722.9,2742.2,3695452.0,RELIANCE.BSE
2024-10-04,3036.0,3044.3,2766.0,2773.8,11649162.0,RELIANCE.BSE
2024-09-27,2980.1,3066.9,2960.5,3052.4,2560768.0,RELIANCE.BSE
